Company A,Company B,start,end,Sentence,Type,Degree,Url
Fortino Capital,HgCapital LLP,2,122,"* Fortino Capital Partners NV/SA sold SigmaConso SA, a Belgian developer of corporate performance management software, to HgCapital LLP-backed Prophix Software Inc. for an undisclosed amount.",Exit,indirect,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/pe-targets-digital-music-rights-us-europe-pe-deals-rise-67326138
Fortino Capital,Salonkee,138,72,"After its rapid expansion from Luxembourg into Belgium and Switzerland, Salonkee just closed a '6.2 million Series A funding round led by Fortino Capital and Newion, to further accelerate its European expansion. Salonkee's ambitions are as international as the composition of its new investors joining the company, which are Fortino Capital from Belgium, Newion from the Netherlands, Verve from Switzerland and some experienced business angels from Germany, making it one of Luxembourg's most internationally funded startups to date.'Salonkee addresses the underpenetrated market of beauty salons in continental Europe. Salonkee's ambitions are as international as the composition of its new investors joining the company, which are Fortino Capital from Belgium, Newion from the Netherlands, Verve from Switzerland and some experienced business angels from Germany, making it one of Luxembourgnntinental Europe.",Investment,direct,https://www.eu-startups.com/2021/07/luxembourg-based-salonkee-raises-e6-2-million-for-the-european-expansion-of-it-beauty-salon-reservations-software/
Fortino Capital,Participatiemaatschappij Vlaanderen,-1,230,"Antwerp-based transport management startup SupplyStack raises '5 million Belgian startup SupplyStack, which offers real-time transport monitoring for shippers and logistics companies, has landed '5 million in a funding round from Participatiemaatschappij Vlaanderen and Mainport Innovation Fund, a",Investment,indirect,https://tech.eu/2019/04/08/antwerp-based-transport-management-startup-supplystack-raises-e5-million/
Fortino Capital,Melita Apax Partners,18,-1,"Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",Investment,direct,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Outremer Telecom,18,203,"Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",Partner,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Telenet,18,221,"Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",Partner,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,ONI,18,198,"Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",Partner,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Numericable Belgium & Luxembourg,18,161,"Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",Partner,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Cabovisï¿½,18,-1,"Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",Partner,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Melita Melitaï¿½ï,15,55,"Apax Partners, Fortino Capital complete acquisition of Melita Melita's Board of Directors announces that the necessary regulatory approvals for a change in the Group's shareholders were received and that the new shareholders - Apax Partners (France) and Fortino Capital (Belgium)",Investment,direct,https://www.maltatoday.com.mt/business/business_news/62488/apax_partners_fortino_capital_complete_acquisition_of_melita
Fortino Capital,Timeseer.ai,217,14,"Belgium-based Timeseer.ai, a startup helping enterprises maintain time-series data quality, has emerged from stealth with $6 million in funding led by Crane Venture Partners, with participation from Smartfin Capital, Fortino Capital, LRM, and Innovation Fund.",Investment,direct,https://venturebeat.com/2022/01/07/data-observability-platform-timeseer-ai-emerges-from-stealth-with-6m/
Fortino Capital,Smartfin Capital,217,199,"Belgium-based Timeseer.ai, a startup helping enterprises maintain time-series data quality, has emerged from stealth with $6 million in funding led by Crane Venture Partners, with participation from Smartfin Capital, Fortino Capital, LRM, and Innovation Fund.",Investment,indirect,https://venturebeat.com/2022/01/07/data-observability-platform-timeseer-ai-emerges-from-stealth-with-6m/
Fortino Capital,Crane Venture Partners,217,151,"Belgium-based Timeseer.ai, a startup helping enterprises maintain time-series data quality, has emerged from stealth with $6 million in funding led by Crane Venture Partners, with participation from Smartfin Capital, Fortino Capital, LRM, and Innovation Fund.",Investment,indirect,https://venturebeat.com/2022/01/07/data-observability-platform-timeseer-ai-emerges-from-stealth-with-6m/
Fortino Capital,Oqton,288,10,"Belgium's Oqton scores $40 million to 'disrupt manufacturing' with a cloud-based production platform Oqton, a young 'Industry 4.0' company started by a duo of former Autodesk executives, has secured more than $40 million in Series A funding in a round led by B2B software investment firm Fortino Capital, PMV and multinational engineering group Sandvik. Belgium's Oqton scores $40 million to 'disrupt manufacturing' with a cloud-based production platform Oqton, a young 'Industry 4.0' company started by a duo of former Autodesk executives, has secured more than $40 million in Series A funding in a round led by B2B software investment firm Fortino Capital, PMV and multinational engineering group Sandvik. Established by ex-Autodesk employees including Dr. Ben Schrauwen, Oqton was backed by the likes of Carl Bass, Sandvik, and Fortino Capital.",Investment,direct,https://tech.eu/2021/01/15/oqton-funding
Fortino Capital,Sandvik,288,345,"Belgium's Oqton scores $40 million to 'disrupt manufacturing' with a cloud-based production platform Oqton, a young 'Industry 4.0' company started by a duo of former Autodesk executives, has secured more than $40 million in Series A funding in a round led by B2B software investment firm Fortino Capital, PMV and multinational engineering group Sandvik. The round was led by Fortino Capital, PMV, and Sandvik with participation from Samir Hanna and Ben Schrauwen and angel investors Carl Bass (former CEO Autodesk), Dries Buytaert (Drupal and Acquia), and Peter Mercelis (Layerwise). Established by ex-Autodesk employees including Dr. Ben Schrauwen, Oqton was backed by the likes of Carl Bass, Sandvik, and Fortino Capital.",Investment,indirect,https://tech.eu/2021/01/15/oqton-funding
Fortino Capital,Cusp Capital,-1,-1,"Berlin-based SimplyDelivery raises '10 million in Series A funding to expand its operating system for restaurants SimplyDelivery, the Berlin-based startup which provides cloud software for around 3,000 restaurant chains, ghost kitchens or individual businesses, has closed a '10 million Series A funding round le",Investment,indirect,https://www.eu-startups.com/2021/07/berlin-based-simplydelivery-raises-e10-million-in-series-a-funding-to-expand-its-operating-system-for-restaurants/
Fortino Capital,Manifold Investments Limited,174,90,"Certain existing investors, including Pires Investments, Sure Valley Ventures ('SVV') and Manifold Investments Limited have also made follow-on investments alongside AIC and Fortino and other additional new investo",Investment,indirect,https://www.voxmarkets.co.uk/articles/pires-investments-increases-stake-in-getvisibility-as-it-invests-a-further-50-000-a7ee038/
Fortino Capital,SVV,174,80,"Certain existing investors, including Pires Investments, Sure Valley Ventures ('SVV') and Manifold Investments Limited have also made follow-on investments alongside AIC and Fortino and other additional new investo",Investment,indirect,https://www.voxmarkets.co.uk/articles/pires-investments-increases-stake-in-getvisibility-as-it-invests-a-further-50-000-a7ee038/
Fortino Capital,David,363,0,"David and his team have done an excellent job and we wish them all well in the future.'EQT, based in Stockholm, is the company that is partnering with Marc Ganzi's US group to buy Zayo for $14.3 billion.Earlier this year it dropped a bid to buy Australian company Vocus, but in May it signed an agreement to acquire Maltese operator Melita from Apax Partners and Fortino Capital. Also commended for its innovative financing approach, implementing a dynamic balance sheet management via asset backed securitizations (ABS).EQTNominated for deals including: the US$14.3bn take private transaction for Zayo Group; the acquisition of Melita from Apax Partners and Fortino Capital; the transfer of IP-Only from EQT Mid-Market to EQT Infrastructure for US$1.9bn; and the sale of Tampnet to 3i Infrastructure and ATP. EQT's latest global infrastructure fund has acquired a Maltese telecom operator from Apax Partners and Fortino Capital. has signed an aghe Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortlists then put before an independent judging panel of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Global 'Germany and CEE portfolio' (CEE, Various)Vodafone's acquisition of Liberty Global's Germany and CEE portfolio for E18.4bnAdvised by LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); Credit Suisse (United Group)MID-CAP TELECOM M&A DEAL OF THE YEAR 'EUROPELiberty Global 'DTH' unit (Europe Various)M7's acquisition of Liberty Global 'DTH' portfolio for E180mAdvised by Merrill Lynch International (Liberty Global)KCOM (UK)Macquarie Infrastructure and Real Assetsï¿½ï¿½iberum Capital (Manx Telecom)Melita (Malta)EQT's acquisition of Melita from Apax Partners and Fortino Capital for an undisclosed sumAdvised by Lazard (Apax Partners and Fortino Capital)Ne",People,indirect,https://www.capacitymedia.com/articles/3824316/eqt-adds-to-telecoms-portfolio-by-buying-german-fibre-network-inexio-for-1bn
Fortino Capital,Apax Partners,363,345,"David and his team have done an excellent job and we wish them all well in the future.'EQT, based in Stockholm, is the company that is partnering with Marc Ganzi's US group to buy Zayo for $14.3 billion.Earlier this year it dropped a bid to buy Australian company Vocus, but in May it signed an agreement to acquire Maltese operator Melita from Apax Partners and Fortino Capital. Also commended for its innovative financing approach, implementing a dynamic balance sheet management via asset backed securitizations (ABS).EQTNominated for deals including: the US$14.3bn take private transaction for Zayo Group; the acquisition of Melita from Apax Partners and Fortino Capital; the transfer of IP-Only from EQT Mid-Market to EQT Infrastructure for US$1.9bn; and the sale of Tampnet to 3i Infrastructure and ATP. EQT's latest global infrastructure fund has acquired a Maltese telecom operator from Apax Partners and Fortino Capital. has signed an aghe Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortlists then put before an independent judging panel of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Global 'Germany and CEE portfolio' (CEE, Various)Vodafone's acquisition of Liberty Global's Germany and CEE portfolio for E18.4bnAdvised by LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); Credit Suisse (United Group)MID-CAP TELECOM M&A DEAL OF THE YEAR 'EUROPELiberty Global 'DTH' unit (Europe Various)M7's acquisition of Liberty Global 'DTH' portfolio for E180mAdvised by Merrill Lynch International (Liberty Global)KCOM (UK)Macquarie Infrastructure and Real Assetsï¿½ï¿½iberum Capital (Manx Telecom)Melita (Malta)EQT's acquisition of Melita from Apax Partners and Fortino Capital for an undisclosed sumAdvised by Lazard (Apax Partners and Fortino Capital)Ne",Investment,indirect,https://www.capacitymedia.com/articles/3824316/eqt-adds-to-telecoms-portfolio-by-buying-german-fibre-network-inexio-for-1bn
Fortino Capital,Buy Bay,32,137,"De investeringsportefeuille van Fortino Capital omvat MobileXpense, Efficy CRM, Odin Groep, Tenzinger, Maxxton, LetsBuild, Teamleader en Buy Bay.",Investment,direct,https://www.persberichten.com/persbericht/100163/Fortino-Capital-Partners-benoemt-Wouter-van-de-Bunt-als-nieuwe-partner-in-Nederland
Fortino Capital,MobileXpense,19,50,"Eerder investeerde Fortino Capital Partners al in MobileXpense in Belgique en eBuilder Travel in Zweden. De investeringsportfolio van Fortino Capital bestaat onder andere uit MobileXpense, Maxxton, Dobco Medical Systems, LetsBuild, Teamleader, Bloomon. De investeringsportfolio van Fortino bestaat onder andere uit MobileXpense, Maxxton en Teamleader. Fortino Capital Growth PE I, the firm's second fund, dedicated '242 million to smaller companies that were poised for accelerated organic growth, such as MobileXpense (BE), Efficy CRM (BE) and Odin Groep (NL).",Investment,direct,https://www.emerce.nl/wire/fortino-capital-partners-investeert-declaree-nederlandse-uitdager-oplossingen-digitaal-beheer-reis-onkosten
Fortino Capital,Jabre Capital Partners,14,61,"Flow Traders, Fortino Capital, Picus Capital, Kima Ventures, Jabre Capital Partners, Darley Technologies, and angel investors also participated in this round.",Investment,indirect,https://www.fintechfutures.com/2022/01/icymi-funding-round-up-anfin-cion-digital-d2x-krm22-orenda-finance/
Fortino Capital,Peers,0,122,"Fortino Capital, seed + speed Ventures, der Auxxo Female Catalyst Fund und Trumpf Venture investieren 3 Millionen Euro in Peers.",Investment,direct,https://www.deutsche-startups.de/2021/11/23/dealmonitor-jina-yababa/
Fortino Capital,der Auxxo Female Catalyst Fund,0,40,"Fortino Capital, seed + speed Ventures, der Auxxo Female Catalyst Fund und Trumpf Venture investieren 3 Millionen Euro in Peers.",Investment,indirect,https://www.deutsche-startups.de/2021/11/23/dealmonitor-jina-yababa/
Fortino Capital,Team Leader,0,54,"Fortino Capital's portfolio includes Bloomon, BuyBay, Team Leader, Slick Software Solutions,",Investment,direct,https://www.finsmes.com/2017/12/fortino-capital-partners-raises-e125m-for-second-growth-fund.html
Fortino Capital,inSided,0,-1,"Fortino Capital's portfolio includes Bloomon, BuyBay, Team Leader, Slick Software Solutions,",Investment,direct,https://www.finsmes.com/2017/12/fortino-capital-partners-raises-e125m-for-second-growth-fund.html
Fortino Capital,Slick Software Solutions,0,67,"Fortino Capital's portfolio includes Bloomon, BuyBay, Team Leader, Slick Software Solutions,",Investment,direct,https://www.finsmes.com/2017/12/fortino-capital-partners-raises-e125m-for-second-growth-fund.html
Fortino Capital,Wouter Goossens,0,136,Fortino has also announced its expansion into The Netherlands with investors Marcel van der Heijden (former partner at Speedinvest) and Wouter Goossens (former Investment Director at ING Ventures) joining the team.,People,direct,https://tech.eu/2021/06/17/antwerp-based-fortino-capital-closes-second-vc-fund-at-e105-million/
Fortino Capital,Speedinvest,0,119,Fortino has also announced its expansion into The Netherlands with investors Marcel van der Heijden (former partner at Speedinvest) and Wouter Goossens (former Investment Director at ING Ventures) joining the team.,People,indirect,https://tech.eu/2021/06/17/antwerp-based-fortino-capital-closes-second-vc-fund-at-e105-million/
Fortino Capital,ING Ventures,0,183,Fortino has also announced its expansion into The Netherlands with investors Marcel van der Heijden (former partner at Speedinvest) and Wouter Goossens (former Investment Director at ING Ventures) joining the team.,People,indirect,https://tech.eu/2021/06/17/antwerp-based-fortino-capital-closes-second-vc-fund-at-e105-million/
Fortino Capital,Belfius,0,-1,"Fortino II Growth, which has a final target of '200m, received support from private investors and entrepreneurs, and a number of institutional investors such as BNP Paribas Fort",Fundraise,direct,https://www.finsmes.com/2017/12/fortino-capital-partners-raises-e125m-for-second-growth-fund.html
Fortino Capital,BNP Paribas Fortis,0,161,"Fortino II Growth, which has a final target of '200m, received support from private investors and entrepreneurs, and a number of institutional investors such as BNP Paribas Fort",Fundraise,direct,https://www.finsmes.com/2017/12/fortino-capital-partners-raises-e125m-for-second-growth-fund.html
Fortino Capital,AG,0,-1,"Fortino II Growth, which has a final target of '200m, received support from private investors and entrepreneurs, and a number of institutional investors such as BNP Paribas Fort",Fundraise,direct,https://www.finsmes.com/2017/12/fortino-capital-partners-raises-e125m-for-second-growth-fund.html
Fortino Capital,Chain.io,0,48,Fortino recently invested in Philadelphia-based Chain.io and expects that area of industrial automation to see growth as large enterprises look to tighten their supply chain and make it less ripe for disruption.'Companies are seeking to be less reliant on unstable supply chains that have been exposed during t,Investment,direct,https://news.crunchbase.com/news/industrial-automation-startups-vc-investment/
Fortino Capital,Melita Ltd.,70,35,has signed an agreement to acquire Melita Ltd. from Apax Partners and Fortino Capital.,Investment,direct,http://www.independent.com.mt/articles/2019-05-23/local-news/Investment-firm-EQT-acquires-Melita-6736208578
Fortino Capital,Endeit Capital,81,-1,"In 2016, the company raised '12m in its Series A round, from investors including Fortino Capital, ",Investment,indirect,https://www.siliconrepublic.com/start-ups/telecoms-startups-europe
Fortino Capital,GMIV,81,-1,"In 2016, the company raised '12m in its Series A round, from investors including Fortino Capital, ",Investment,indirect,https://www.siliconrepublic.com/start-ups/telecoms-startups-europe
Fortino Capital,Atlantic Bridge Capital,227,199,"Massy-based iObeya, a provider of an Enterprise Visual Management software, has announced raising approximately '15.1 million in a second round of funding from Red River West with participation from Atlantic Bridge Capital and Fortino Capital Partners, bringing the total raised to date to around '17.2 million.",Investment,indirect,https://www.eu-startups.com/2020/07/french-visual-management-startup-iobeya-lands-e15-1-million-to-open-new-seattle-office/
Fortino Capital,Apax France,26,10,Melita to Apax France and Fortino Capital Maltese capital operator Melita is in the process of being sold to Apax France and Fortino Capital. Melita to Apax France and Fortino Capital Maltese capital operator Melita is in the process of being sold to Apax France and Fortino Capital.,Investment,indirect,https://www.broadbandtvnews.com/2015/12/09/melita-to-apax-france-and-fortino-capital/
Fortino Capital,Mainport Innovation Fund,0,63,"Fortino Capital, Participatie Maatschappij Vlaanderen (PMV) en Mainport Innovation Fund (MIF) ' wil SupplyStack Antwerp-based transport management startup SupplyStack raises '5 million Belgian startup SupplyStack, which offers real-time transport monitoring for shippers and logistics companies, has landed '5 million in a funding round from Par",Investment,indirect,https://www.consultancy.nl/nieuws/38750/cfi-begeleidt-verkoop-van-belgisch-softwarebedrijf-supplystack
Fortino Capital,Philippe Jabreï¿½ï,41,88,"Other investors, including Flow Traders, Fortino Capital, Picus Capital, Kima Ventures, Philippe Jabre's family office, Darley Technologies, and angel inves",Investment,indirect,https://siliconcanals.com/news/startups/amsterdams-d2x-raises-5m/
Fortino Capital,Alpha Intelligence Capital,298,270,"Moving away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra ng away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners. The privately held security startup in May 2021 raised an undisclosed amount of funding from Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners. The Series A round was co-led by Luxembourg-based VC fund Alpha Intelligence Capital and Antwerp and Amsterdam-based investment firm Fortino Capital along with participation from existing investors, including Pires, Sure Valley Ventures and Manifold Investments. The funds come from Alpha Intelligence Capital ('AIC'), a global venture capital firm which invests in deep arti'cial intelligence/machine learning technology-based companies and Fortino Capital Partners",Investment,indirect,https://www.lemondeinformatique.fr/actualites/lire-avec-le-rachat-de-reaqta-ibm-security-complete-sa-pile-xdr-84693.html
Fortino Capital,Integra Partners,298,330,"Moving away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra ng away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners. The privately held security startup in May 2021 raised an undisclosed amount of funding from Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners.",Investment,indirect,https://www.lemondeinformatique.fr/actualites/lire-avec-le-rachat-de-reaqta-ibm-security-complete-sa-pile-xdr-84693.html
Fortino Capital,Asset Integrity Software,66,202,"Since beginning a new partnership with European software investor Fortino Capital Partners last December, Cenosco has been taking significant steps to consolidate its position as the market standard in Asset Integrity Software.",Partner,direct,https://www.pandct.com/news/cenosco-appoints-industry-veteran-zvonimir-djerfi-as-chairman-of-the-board/
Fortino Capital,FPIM,-1,77,"So far entrepreneurs, private investors, and institutional investors such as FPIM and PMV have committed '45 million to the fund, For",Investment,indirect,https://tech.eu/2020/04/14/fortino-capital-fund
Fortino Capital,Securelink,169,147,"Story continues""We are extremely proud to partner with AIC, a deep-technology AI investor, and InvestLink, cyber-security veterans and founders of Securelink as well as Fortino Capital a B2B SaaS specialist with operating partner.",Investment,indirect,https://finance.yahoo.com/news/reaqta-closes-series-round-expand-060000153.html
Fortino Capital,MC Venture Partners,226,104,"The deal was announced in December between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. As announced on 8 December 2015, an agreement was reached between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. Melita announces Apax Partners of France and Fortino Capital of Belgium as new shareholders Melita's Board of Directors announced that an agreement has been reached between Melita's current shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international in",Investment,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Blackrock Communications,226,125,"The deal was announced in December between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. As announced on 8 December 2015, an agreement was reached between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. Melita announces Apax Partners of France and Fortino Capital of Belgium as new shareholders Melita's Board of Directors announced that an agreement has been reached between Melita's current shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international in",Investment,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,GMT Communications Partners,226,75,"The deal was announced in December between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. As announced on 8 December 2015, an agreement was reached between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. Melita announces Apax Partners of France and Fortino Capital of Belgium as new shareholders Melita's Board of Directors announced that an agreement has been reached between Melita's current shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international in",Investment,indirect,https://timesofmalta.com/articles/view/apax-partners-and-fortino-capital-complete-the-acquisition-of-melita.603333
Fortino Capital,Matthias Vandepitte,377,508,"The fragmented market of property management software offers attractive investment propositions, driven by trends in the leisure, home rental and serviced apartments industries in particular.In addition, Maxxton is in the process of rolling out the latest version of its software after reportedly receiving positive reactions from its customers.Now, as a majority shareholder, Fortino Capital will assist the company in its international expansion plans expand and its venture into parallel segments as well.Matthias Vandepitte, partner at Fortino Capital, said: 'We are delighted to support Maxxton with its ambitious growth strategy and we look forward to bringing our expertise in B2B software to Jean-Pierre and his team.'Maxxton founder Mampaey said: 'Over the last two decades, we have built a strong ERP software solution, initially for Roompot and today addressing the complex needs of clients all around the world. ",People,direct,https://shorttermrentalz.com/news/fortino-capital-partners-maxxton/
Fortino Capital,Mampaey,377,742,"The fragmented market of property management software offers attractive investment propositions, driven by trends in the leisure, home rental and serviced apartments industries in particular.In addition, Maxxton is in the process of rolling out the latest version of its software after reportedly receiving positive reactions from its customers.Now, as a majority shareholder, Fortino Capital will assist the company in its international expansion plans expand and its venture into parallel segments as well.Matthias Vandepitte, partner at Fortino Capital, said: 'We are delighted to support Maxxton with its ambitious growth strategy and we look forward to bringing our expertise in B2B software to Jean-Pierre and his team.'Maxxton founder Mampaey said: 'Over the last two decades, we have built a strong ERP software solution, initially for Roompot and today addressing the complex needs of clients all around the world. ",People,indirect,https://shorttermrentalz.com/news/fortino-capital-partners-maxxton/
Fortino Capital,Jean-Pierre,377,700,"The fragmented market of property management software offers attractive investment propositions, driven by trends in the leisure, home rental and serviced apartments industries in particular.In addition, Maxxton is in the process of rolling out the latest version of its software after reportedly receiving positive reactions from its customers.Now, as a majority shareholder, Fortino Capital will assist the company in its international expansion plans expand and its venture into parallel segments as well.Matthias Vandepitte, partner at Fortino Capital, said: 'We are delighted to support Maxxton with its ambitious growth strategy and we look forward to bringing our expertise in B2B software to Jean-Pierre and his team.'Maxxton founder Mampaey said: 'Over the last two decades, we have built a strong ERP software solution, initially for Roompot",People,indirect,https://shorttermrentalz.com/news/fortino-capital-partners-maxxton/
